dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;85,0000;57,0000;150,0000;19,0000;0,5986;0,8173;0,6911;0,8545;0,4968
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;89,0000;80,0000;127,0000;15,0000;0,5266;0,8558;0,6520;0,8271;0,4061
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;45,0000;11,0000;196,0000;59,0000;0,8036;0,4327;0,5625;0,6898;0,4288
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;38,0000;18,0000;189,0000;66,0000;0,6786;0,3654;0,4750;0,6392;0,3145
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;66,0000;41,0000;166,0000;38,0000;0,6168;0,6346;0,6256;0,8091;0,4334
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;59,0000;31,0000;176,0000;45,0000;0,6556;0,5673;0,6082;0,8040;0,4320
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;85,0000;65,0000;142,0000;19,0000;0,5667;0,8173;0,6693;0,8524;0,4534
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;94,0000;77,0000;130,0000;10,0000;0,5497;0,9038;0,6836;0,8271;0,4584
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;46,0000;13,0000;194,0000;58,0000;0,7797;0,4423;0,5644;0,6898;0,4253
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;41,0000;15,0000;192,0000;63,0000;0,7321;0,3942;0,5125;0,6609;0,3635
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;92,0000;89,0000;118,0000;12,0000;0,5083;0,8846;0,6456;0,8152;0,3839
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;80,0000;57,0000;150,0000;24,0000;0,5839;0,7692;0,6639;0,8157;0,4577
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;88,0000;74,0000;133,0000;16,0000;0,5432;0,8462;0,6617;0,8488;0,4291
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;90,0000;67,0000;140,0000;14,0000;0,5732;0,8654;0,6897;0,8315;0,4808
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;43,0000;10,0000;197,0000;61,0000;0,8113;0,4135;0,5478;0,6826;0,4159
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;42,0000;20,0000;187,0000;62,0000;0,6774;0,4038;0,5060;0,6536;0,3415
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;46,0000;21,0000;186,0000;58,0000;0,6866;0,4423;0,5380;0,8302;0,3740
