dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;86,0000;69,0000;750,0000;94,0000;0,5548;0,4778;0,5134;0,8549;0,4161
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;170,0000;467,0000;352,0000;10,0000;0,2669;0,9444;0,4162;0,7739;0,1880
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;819,0000;180,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;82,0000;109,0000;710,0000;98,0000;0,4293;0,4556;0,4420;0,6612;0,3150
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;17,0000;2,0000;817,0000;163,0000;0,8947;0,0944;0,1709;0,8486;0,1413
OPENJPA;2;10,22;18,02;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;93,0000;69,0000;750,0000;87,0000;0,5741;0,5167;0,5439;0,7890;0,4500
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;134,0000;139,0000;680,0000;46,0000;0,4908;0,7444;0,5916;0,8643;0,4783
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;178,0000;560,0000;259,0000;2,0000;0,2412;0,9889;0,3878;0,8491;0,1381
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;42,0000;3,0000;816,0000;138,0000;0,9333;0,2333;0,3733;0,6148;0,3247
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;109,0000;119,0000;700,0000;71,0000;0,4781;0,6056;0,5343;0,7301;0,4169
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;121,0000;95,0000;724,0000;59,0000;0,5602;0,6722;0,6111;0,8564;0,5160
OPENJPA;2;10,22;18,02;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;152,0000;423,0000;396,0000;28,0000;0,2643;0,8444;0,4026;0,7742;0,1767
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;92,0000;48,0000;771,0000;88,0000;0,6571;0,5111;0,5750;0,8911;0,4955
