Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,42,52,1,1,52,52,52,27,27,27,2,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,27,56,2,2,52,26,52,452,281,226,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,28,60,2,2,58,29,58,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,95,163,4,2,137,34,136,578,281,144,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,32,68,3,2,58,19,58,481,281,160,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,18,41,1,1,41,41,41,281,281,281,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,10,42,2,2,38,19,38,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,27,83,4,3,37,9,56,548,281,137,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,347,492,4,2,452,113,450,550,281,137,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,45,65,3,2,63,21,63,513,281,171,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,45,74,2,2,72,36,72,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,47,63,3,2,61,20,61,513,281,171,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,48,81,1,1,81,81,81,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,15,87,2,2,75,37,75,452,281,226,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,11,38,2,2,32,16,31,378,281,189,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,71,117,4,2,99,24,98,578,281,144,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,122,167,3,2,159,53,158,549,281,183,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,130,175,5,2,161,32,160,617,281,123,35,true
