dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;71,0000;673,0000;163,0000;40,0000;0,0954;0,6396;0,1661;0,5389;-0,0476
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;71,0000;304,0000;532,0000;40,0000;0,1893;0,6396;0,2922;0,6655;0,1359
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;40,0000;70,0000;766,0000;71,0000;0,3636;0,3604;0,3620;0,6383;0,2777
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;43,0000;59,0000;777,0000;68,0000;0,4216;0,3874;0,4038;0,6584;0,3284
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;65,0000;88,0000;748,0000;46,0000;0,4248;0,5856;0,4924;0,8116;0,4126
OPENJPA;1;7,68;11,72;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;52,0000;47,0000;789,0000;59,0000;0,5253;0,4685;0,4952;0,8515;0,4325
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;41,0000;39,0000;797,0000;70,0000;0,5125;0,3694;0,4293;0,7328;0,3672
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;43,0000;60,0000;776,0000;68,0000;0,4175;0,3874;0,4019;0,7105;0,3258
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;34,0000;26,0000;810,0000;77,0000;0,5667;0,3063;0,3977;0,6376;0,3437
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;34,0000;24,0000;812,0000;77,0000;0,5862;0,3063;0,4024;0,6388;0,3501
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,8141;0,0000
OPENJPA;1;7,68;11,72;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;12,0000;1,0000;835,0000;99,0000;0,9231;0,1081;0,1935;0,7831;0,1732
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,6401;0,0000
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;3,0000;0,0000;836,0000;108,0000;1,0000;0,0270;0,0526;0,5880;0,0468
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;3,0000;0,0000;836,0000;108,0000;1,0000;0,0270;0,0526;0,5135;0,0468
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,6401;0,0000
OPENJPA;1;7,68;11,72;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;3,0000;0,0000;836,0000;108,0000;1,0000;0,0270;0,0526;0,5880;0,0468
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;7,0000;0,0000;836,0000;104,0000;1,0000;0,0631;0,1186;0,6983;0,1062
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;8,0000;0,0000;836,0000;103,0000;1,0000;0,0721;0,1345;0,7829;0,1206
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;7,0000;0,0000;836,0000;104,0000;1,0000;0,0631;0,1186;0,5315;0,1062
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;8,0000;0,0000;836,0000;103,0000;1,0000;0,0721;0,1345;0,5360;0,1206
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7775;0,0000
OPENJPA;1;7,68;11,72;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;2,0000;1,0000;835,0000;109,0000;0,6667;0,0180;0,0351;0,4625;0,0291
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;58,0000;45,0000;791,0000;53,0000;0,5631;0,5225;0,5421;0,7343;0,4838
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;46,0000;23,0000;813,0000;65,0000;0,6667;0,4144;0,5111;0,8203;0,4628
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;58,0000;45,0000;791,0000;53,0000;0,5631;0,5225;0,5421;0,7343;0,4838
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;46,0000;23,0000;813,0000;65,0000;0,6667;0,4144;0,5111;0,6935;0,4628
