Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryLanguages.java,31,205,9,2,59,6,59,3365,1027,373,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Extensions.java,303,1348,6,1,460,76,437,3180,1027,530,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,21,41,3,2,27,9,27,1580,1027,526,44,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Value.java,215,634,8,2,366,45,373,3311,1027,413,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,123,142,2,1,142,71,142,1502,1027,751,44,true
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumns.java,10,15,3,1,13,4,13,1723,1027,574,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/This.java,14,145,5,2,39,7,43,2960,1027,592,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java,118,193,3,2,173,57,174,1639,1027,546,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PDirtyState.java,52,269,6,2,91,15,83,2926,1027,487,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,21,54,4,2,28,7,33,1717,1027,429,44,false
0,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/ObjectData.java,276,1099,5,2,327,65,299,3008,1027,601,45,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/InverseLogical.java,11,87,5,1,17,3,14,3092,1027,618,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,2402,9466,28,5,3020,107,2831,3747,1027,133,45,true
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueStrategies.java,85,305,6,1,101,16,96,3180,1027,530,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManagerImpl.java,172,262,3,1,254,84,258,1523,1027,507,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java,1132,1307,8,2,1153,144,1148,3471,1027,433,45,true
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/RuntimeExceptionTranslator.java,7,75,4,1,13,3,9,2871,1027,717,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/EmpressDictionary.java,108,171,2,1,171,85,171,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SaveFieldManager.java,149,599,4,1,207,51,190,2871,1027,717,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Sum.java,33,178,4,1,62,15,55,2871,1027,717,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java,400,1465,6,1,447,74,416,3567,1027,594,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ExpirationListener.java,5,27,5,1,7,1,7,3092,1027,618,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginListValue.java,150,424,8,2,208,26,242,3327,1027,415,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,333,451,4,2,443,110,444,1566,1027,391,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SavepointFieldManager.java,148,631,5,1,213,42,201,3092,1027,618,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java,80,289,5,1,95,19,88,2920,1027,584,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java,394,1469,11,2,621,56,711,3841,1027,349,47,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchGroup.java,17,98,7,2,26,3,15,3230,1027,461,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java,38,99,4,2,47,11,50,1717,1027,429,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Concat.java,35,221,6,2,69,11,64,3009,1027,501,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Calendard.java,10,35,2,1,35,17,35,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/EDirtyState.java,49,265,5,2,87,17,83,2896,1027,579,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaParser.java,15,62,2,1,62,31,62,1502,1027,751,44,false
