dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5514;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4695;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,6243;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;4,0000;0,0000;131,0000;85,0000;1,0000;0,0449;0,0860;0,8339;0,0531
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,7421;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8539;0,7118
