Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,114,162,2,2,162,81,162,452,281,226,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,58,86,4,3,58,14,48,540,281,135,35,true
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,188,188,1,1,188,188,188,35,35,35,0,true
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,195,286,2,2,268,134,268,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,100,124,5,3,100,20,82,637,281,127,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,77,111,9,3,77,8,77,727,281,80,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,63,137,4,2,123,30,122,578,281,144,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,293,443,3,2,427,142,426,549,281,183,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,363,397,9,3,363,40,353,693,281,77,35,true
0,release-4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,29,54,1,1,54,54,54,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,122,170,1,1,170,170,170,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,36,66,2,2,64,32,64,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,74,148,4,2,130,32,129,578,281,144,35,true
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,752,926,11,3,752,68,521,698,281,63,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,11,32,1,1,32,32,32,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,36,68,2,2,64,32,64,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,41,74,1,1,74,74,74,281,281,281,35,false
0,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,87,243,4,2,87,21,87,559,281,139,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,59,59,4,3,59,14,45,548,281,137,35,true
